id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
330,220,10220,海枝枝,海枝枝（碧蓝珊瑚）,最终阶段,水,幽,珊瑚骨,敌方精灵离场时，自己获得全技能能耗-3。,78,58,148,96,120,110,610,,,否,海枝枝（碧蓝珊瑚）,碧蓝珊瑚,,0.75~0.85,3.51~6.82,常见于海面,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%A2%A7%E8%93%9D%E7%8F%8A%E7%91%9A%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/5b/efwbtnaynmpx9y85y1obfzoch17c5do.png,
331,220,102203,海枝枝,海枝枝（翠绿纶布）,最终阶段,水,幽,珊瑚骨,敌方精灵离场时，自己获得全技能能耗-3。,90,53,135,92,113,120,603,,,否,海枝枝（翠绿纶布）,翠绿纶布,,0.75~0.85,3.51~6.82,常见于海面,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%BF%A0%E7%BB%BF%E7%BA%B6%E5%B8%83%EF%BC%89,https://patchwiki.biligame.com/images/rocom/a/a9/dd80pj056tbluqzzq0n70g3m3ty1y7a.png,
332,221,10221,多西,多西,Ⅰ阶,机械,地,定向精炼,己方精灵每使用1次防御技能，自己入场时机械系和地面系技能威力+10%。,64,73,26,82,70,30,345,,,否,多西,,,0.65~0.94,5.7~7.1,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%A4%9A%E8%A5%BF,https://patchwiki.biligame.com/images/rocom/9/94/hsqyxfmg0p0gz8s36uzb1b7ldd6etb1.png,
333,222,10222,库多西,库多西,Ⅱ阶,机械,地,定向精炼,己方精灵每使用1次防御技能，自己入场时机械系和地面系技能威力+10%。,85,98,34,109,93,40,459,,,否,多西,,,0.99~1.42,115.8~175.02,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%BA%93%E5%A4%9A%E8%A5%BF,https://patchwiki.biligame.com/images/rocom/3/32/dfflnxnm50nqc08865hk3xkx7bgn2hj.png,
334,223,10223,波多西,波多西,最终阶段,机械,地,定向精炼,己方精灵每使用1次防御技能，自己入场时机械系和地面系技能威力+10%。,106,122,43,136,116,50,573,,,否,多西,,,1.43~2.05,265~295,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%B3%A2%E5%A4%9A%E8%A5%BF,https://patchwiki.biligame.com/images/rocom/9/9b/hxurck559b80j25wgnn3rnydhoupa4z.png,
335,224,10224,小翼龙,小翼龙,Ⅰ阶,龙,翼,暴食,携带的龙系技能获得迅捷。,66,91,24,73,63,92,409,,,否,小翼龙,,,0.61~0.87,25.1~36.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%BF%BC%E9%BE%99,https://patchwiki.biligame.com/images/rocom/1/18/4gm8dv39vje80wb9f9ri66pmdmb5zzw.png,
336,225,10225,翼龙,翼龙,最终阶段,龙,翼,暴食,携带的龙系技能获得迅捷。,83,114,31,91,79,115,513,,,否,小翼龙,,,1.79~1.99,240~265,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%BF%BC%E9%BE%99,https://patchwiki.biligame.com/images/rocom/5/55/bb3dr6l4zb07mt2rpg6euok2j54m82n.png,
337,226,10226,电动长颈鹿,电动长颈鹿,Ⅰ阶,电,,蓄电池,每入场1次，永久获得双攻+20%。,55,59,20,65,47,72,318,,,否,电动长颈鹿,,,0.7~1,29.8~36.8,常见于山地,0.6,https://wiki.biligame.com/rocom/%E7%94%B5%E5%8A%A8%E9%95%BF%E9%A2%88%E9%B9%BF,https://patchwiki.biligame.com/images/rocom/9/95/hf6exuai3em02ggnvi6068tatwsg1co.png,
338,227,10227,奔乐鹿,奔乐鹿,Ⅱ阶,电,,蓄电池,每入场1次，永久获得双攻+20%。,73,79,27,86,63,96,424,,,否,电动长颈鹿,,,0.85~1.22,68~77.5,常见于山地,0.6,https://wiki.biligame.com/rocom/%E5%A5%94%E4%B9%90%E9%B9%BF,https://patchwiki.biligame.com/images/rocom/3/38/2ggk766trhcl4o1ubr9f26mtv4l32y2.png,
339,228,102281,波普鹿,波普鹿,最终阶段,电,,超级电池,每入场1次，获得双攻永久+30%。,92,99,34,108,79,120,532,,,否,电动长颈鹿,,,3.3~3.72,210.5~300,常见于山地,0.6,https://wiki.biligame.com/rocom/%E6%B3%A2%E6%99%AE%E9%B9%BF,https://patchwiki.biligame.com/images/rocom/7/71/2javy6283hb35gerbth2ddfy8begopj.png,
340,228,10228,爵士鹿,爵士鹿,最终阶段,电,,蓄电池,每入场1次，永久获得双攻+20%。,92,99,34,108,79,120,532,,,否,电动长颈鹿,,,1.38~1.98,135~185.06,常见于山地,0.6,https://wiki.biligame.com/rocom/%E7%88%B5%E5%A3%AB%E9%B9%BF,https://patchwiki.biligame.com/images/rocom/a/a6/jcxy6nsrryijb047juj3qhxe55oi58z.png,
341,229,10229,缇塔,缇塔,Ⅰ阶,机械,,向心力,1号位和2号位技能获得传动1和威力+30。,73,99,38,98,74,72,454,,,否,缇塔,,,0.65~0.75,38.2~45.2,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E7%BC%87%E5%A1%94,https://patchwiki.biligame.com/images/rocom/3/3a/lhlbu3zg39lvfpso57ww4iks9u2snxm.png,
342,230,10230,声波缇塔,声波缇塔,最终阶段,机械,,向心力,1号位和2号位技能获得传动1和威力+30。,92,124,48,122,92,90,568,,,否,缇塔,,,1.05~1.2,71.5~78.5,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%A3%B0%E6%B3%A2%E7%BC%87%E5%A1%94,https://patchwiki.biligame.com/images/rocom/7/74/4k4r9jprm32qjya3epducxn4m8q79al.png,
343,231,10231,小鹬,小鹬,Ⅰ阶,翼,,起飞加速,本场战斗首次使用的技能获得迅捷。,56,38,38,67,52,69,320,,,否,小鹬,,,0.25~0.36,1.4~2.2,常见于沙地,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%B9%AC,https://patchwiki.biligame.com/images/rocom/6/63/f0h0ppr6wbkwlg961g5mnqenog6ai1j.png,
344,232,10232,鄙目鹬,鄙目鹬,Ⅱ阶,翼,,起飞加速,本场战斗首次使用的技能获得迅捷。,75,51,51,90,70,92,429,,,否,小鹬,,,0.67~0.96,6.75~8.9,常见于沙地,0.6,https://wiki.biligame.com/rocom/%E9%84%99%E7%9B%AE%E9%B9%AC,https://patchwiki.biligame.com/images/rocom/0/06/sufpzi1hnwdcjr06orzhbmb9zkfve3p.png,
345,233,10233,高脚鹬,高脚鹬,最终阶段,翼,,起飞加速,本场战斗首次使用的技能获得迅捷。,94,63,63,112,87,115,534,,,否,小鹬,,,0.81~1.16,18~24.91,常见于沙地,0.6,https://wiki.biligame.com/rocom/%E9%AB%98%E8%84%9A%E9%B9%AC,https://patchwiki.biligame.com/images/rocom/b/b5/3wf0lz4sibzzvc7xc2c9t5c7oyyg4m4.png,
346,234,10234,脆筒甜甜,脆筒甜甜,Ⅰ阶,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,72,67,72,42,55,60,368,,,否,脆筒甜甜,,,0.3~0.4,1.8~3.8,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E8%84%86%E7%AD%92%E7%94%9C%E7%94%9C,https://patchwiki.biligame.com/images/rocom/9/99/hkgrj5vqlslmwxcq1hw8rkaoijy2wc9.png,
347,235,10235,香草甜甜,香草甜甜,Ⅱ阶,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,96,90,95,56,74,80,491,,,否,脆筒甜甜,,,0.4~0.6,5.15~7.8,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E9%A6%99%E8%8D%89%E7%94%9C%E7%94%9C,https://patchwiki.biligame.com/images/rocom/a/ab/3dmpl7qddfrhwbooues79boe1ndw1en.png,
348,235,102351,香草甜甜,香草甜甜（杨桃饰品）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,88,92,96,58,77,80,491,,,否,脆筒甜甜,杨桃饰品,,0.4~0.6,5.15~7.8,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E9%A6%99%E8%8D%89%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E9%A5%B0%E5%93%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/41/ananedvjf1hsfpgoep6oe4f537f4aw4.png,
349,235,102352,香草甜甜,香草甜甜（蓝莓饰品）,Ⅱ阶,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,91,94,88,63,74,80,490,,,否,脆筒甜甜,蓝莓饰品,,0.4~0.6,5.15~7.8,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E9%A6%99%E8%8D%89%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E9%A5%B0%E5%93%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/e/e6/iury4c9evtz8q5q7dlcejsj7aghbqq0.png,
350,236,10236,圣代甜甜,圣代甜甜,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,119,112,119,70,92,100,612,,,否,脆筒甜甜,,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C,https://patchwiki.biligame.com/images/rocom/c/ca/73y6hx9ejbcli53vysobr9g1wty7utz.png,
351,236,102366,圣代甜甜,圣代甜甜（杨桃巧克力口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,110,116,120,73,96,100,615,,,否,脆筒甜甜,杨桃巧克力口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/29/t7h3kh0kxojtjq96942lz3ogfu3vp3h.png,
352,236,102368,圣代甜甜,圣代甜甜（杨桃抹茶口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,110,107,110,82,96,105,610,,,否,脆筒甜甜,杨桃抹茶口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/3d/70pziam7w90ngwk40cu163okgk3isem.png,
353,236,102367,圣代甜甜,圣代甜甜（杨桃草莓口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,108,110,110,84,99,100,611,,,否,脆筒甜甜,杨桃草莓口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/2f/mzdnvfoudyx442h7ztaxlgo4upbb17c.png,
354,236,102362,圣代甜甜,圣代甜甜（樱桃抹茶口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,113,112,110,79,92,105,611,,,否,脆筒甜甜,樱桃抹茶口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/f/f0/hto166e5pdv3us1t7ag7x24h1s487xe.png,
355,236,102361,圣代甜甜,圣代甜甜（樱桃草莓口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,107,120,110,81,96,100,614,,,否,脆筒甜甜,樱桃草莓口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/85/pcqrzberxe27iicgvc9bl23otpoolrs.png,
356,236,102363,圣代甜甜,圣代甜甜（蓝莓巧克力口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,114,117,110,79,92,100,612,,,否,脆筒甜甜,蓝莓巧克力口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/1/15/ef3afe21zib84vovuamb6hlni2irvt5.png,
357,236,102365,圣代甜甜,圣代甜甜（蓝莓抹茶口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,121,100,101,86,92,105,605,,,否,脆筒甜甜,蓝莓抹茶口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/42/mzd3m01yz5ciweqw38n7rm0dw8y6xfc.png,
358,236,102364,圣代甜甜,圣代甜甜（蓝莓草莓口味）,最终阶段,冰,,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,113,109,100,90,96,100,608,,,否,脆筒甜甜,蓝莓草莓口味,,0.7~1,16.5~22.75,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/08/t5b7gjd30dl60kiol7vg813wvxtug3i.png,
359,237,102371,刺轮砣,刺轮砣（上弦的样子）,最终阶段,毒,萌,耐活王,敌方受到中毒效果伤害时，自己回复等量生命。,100,80,78,80,65,84,487,,,否,刺轮砣（上弦的样子）,上弦的样子,,0.18~0.31,2.7~4,常见于海面,0.6,https://wiki.biligame.com/rocom/%E5%88%BA%E8%BD%AE%E7%A0%A3%EF%BC%88%E4%B8%8A%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/20/2xrf1upw8x8qbmtj94s02yesvzter32.png,
360,237,10237,刺轮砣,刺轮砣（下弦的样子）,Ⅰ阶,毒,萌,耐活王,敌方受到中毒效果伤害时，自己回复等量生命。,100,78,80,65,80,84,487,,,否,刺轮砣（下弦的样子）,下弦的样子,,0.18~0.31,2.7~4,常见于海面,0.6,https://wiki.biligame.com/rocom/%E5%88%BA%E8%BD%AE%E7%A0%A3%EF%BC%88%E4%B8%8B%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/e/ed/len62ni9nqmle6dohak4e3shqojzslb.png,
361,238,102381,月亮砣,月亮砣（上弦的样子）,最终阶段,毒,萌,耐活王,敌方受到中毒效果伤害时，自己回复等量生命。,125,100,98,100,81,105,609,,,否,刺轮砣（上弦的样子）,上弦的样子,夜晚进化,1.85~2.1,137.5~182.4,常见于海面,0.6,https://wiki.biligame.com/rocom/%E6%9C%88%E4%BA%AE%E7%A0%A3%EF%BC%88%E4%B8%8A%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/57/g05gs80tzawvv41wkfo6r8cuf1tuue9.png,
362,238,10238,月亮砣,月亮砣（下弦的样子）,最终阶段,毒,萌,耐活王,敌方受到中毒效果伤害时，自己回复等量生命。,125,98,100,81,100,105,609,,,否,刺轮砣（下弦的样子）,下弦的样子,夜晚进化,1.85~2.1,128~184.4,常见于海面,0.6,https://wiki.biligame.com/rocom/%E6%9C%88%E4%BA%AE%E7%A0%A3%EF%BC%88%E4%B8%8B%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/68/sqgnlms9lse6u196qh3t2esffja5d9e.png,
363,239,10239,豆丁鱼,豆丁鱼,Ⅰ阶,水,龙,洄游,每次进入蓄力状态，获得全技能能耗永久-1。,45,70,74,67,70,75,401,,,否,豆丁鱼,,,0.31~0.44,1.2~3.4,常见于海面,0.6,https://wiki.biligame.com/rocom/%E8%B1%86%E4%B8%81%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/8/84/l03hb24992kdwomhy0qfjjynend0qdc.png,
364,240,10240,快鳍鱼,快鳍鱼,Ⅱ阶,水,龙,洄游,每次进入蓄力状态，获得全技能能耗永久-1。,60,93,99,89,93,100,534,,,否,豆丁鱼,,,0.27~0.39,14.5~16.8,常见于海面,0.6,https://wiki.biligame.com/rocom/%E5%BF%AB%E9%B3%8D%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/6/63/408ag6ovu931hssd7kstv1bemj4ltgc.png,
365,241,10241,龙鱼,龙鱼,最终阶段,水,龙,洄游,每次进入蓄力状态，获得全技能能耗永久-1。,75,116,123,112,116,125,667,,,否,豆丁鱼,,,0.69~0.99,39.5~44.5,常见于海面,0.6,https://wiki.biligame.com/rocom/%E9%BE%99%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/1/1b/9pwwn6fecfi32vefzwgmfcpftbkfvxi.png,
366,242,10242,胆小鳗鱼,胆小鳗鱼,Ⅰ阶,电,水,生物电,携带的电系技能获得迸发：能耗-2。,68,92,92,83,90,92,517,,,否,胆小鳗鱼,,,0.74~1.07,17.5~26.85,常见于海面,0.6,https://wiki.biligame.com/rocom/%E8%83%86%E5%B0%8F%E9%B3%97%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/6/65/sexctmvdy5pnj2fgqdue7sovqn9cw4z.png,
367,243,10243,闪电鳗鱼,闪电鳗鱼,最终阶段,电,水,生物电,携带的电系技能获得迸发：能耗-2。,85,115,115,104,112,115,646,,,否,胆小鳗鱼,,,0.83~1.19,68.9~76.5,常见于海面,0.6,https://wiki.biligame.com/rocom/%E9%97%AA%E7%94%B5%E9%B3%97%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/c/cf/tfvre4g1cbdv74tv7wydn5udn5gtdiv.png,
368,244,10244,翡翠水母,翡翠水母,Ⅰ阶,水,毒,扩散侵蚀,使用水系技能后，敌方获得中毒，获得层数等于中毒印记层数的2倍。,108,30,68,75,109,76,466,,,否,翡翠水母,,,0.49~0.7,31.5~36.8,常见于海面,0.6,https://wiki.biligame.com/rocom/%E7%BF%A1%E7%BF%A0%E6%B0%B4%E6%AF%8D,https://patchwiki.biligame.com/images/rocom/f/f3/qtg8mg0mxy7370rpc9eohcwcgsw0k05.png,
369,245,10245,琉璃水母,琉璃水母,最终阶段,水,毒,扩散侵蚀,使用水系技能后，敌方获得中毒，获得层数等于中毒印记层数的2倍。,134,37,85,93,136,95,580,,,否,翡翠水母,,,0.9~1.28,48~53,常见于海面,0.6,https://wiki.biligame.com/rocom/%E7%90%89%E7%92%83%E6%B0%B4%E6%AF%8D,https://patchwiki.biligame.com/images/rocom/d/de/k7nubtsz7deg1n4u2a960xgw7z7awlo.png,
370,246,10246,裘洛,裘洛,Ⅰ阶,毒,,蚀刻,回合结束时，敌方每2层中毒转化为1层中毒印记。,44,56,50,39,48,75,312,,,否,裘洛,,,0.7~1,7.5~12.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%A3%98%E6%B4%9B,https://patchwiki.biligame.com/images/rocom/9/9c/ai2ivunxg0fjwnzy552j6bsq1nh5qr4.png,
371,247,10247,裘力,裘力,Ⅱ阶,毒,,蚀刻,回合结束时，敌方每2层中毒转化为1层中毒印记。,59,74,67,52,64,100,416,,,否,裘洛,,,0.81~1.16,14.07~18.02,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%A3%98%E5%8A%9B,https://patchwiki.biligame.com/images/rocom/d/d3/qw6krqyuqrdgd4nlois0j77f8ekasdu.png,
372,248,10248,裘卡,裘卡,最终阶段,毒,,蚀刻,回合结束时，敌方每2层中毒转化为1层中毒印记。,73,93,83,65,81,125,520,,,否,裘洛,,,1.25~1.79,49.5~58.6,裘卡的幻境,0.6,https://wiki.biligame.com/rocom/%E8%A3%98%E5%8D%A1,https://patchwiki.biligame.com/images/rocom/a/a9/1bccpd3l1t66oy3lwk44wzr3pqsj9y2.png,
373,249,10249,可爱猿,可爱猿,Ⅰ阶,火,,散热,初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,100,97,43,86,67,36,429,,,否,可爱猿,,,0.69~0.98,21~31.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8F%AF%E7%88%B1%E7%8C%BF,https://patchwiki.biligame.com/images/rocom/e/e0/1xsbef59im08o1aui67cvgqp9nr1a58.png,
374,250,10250,炽热猿,炽热猿,Ⅱ阶,火,,散热,初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,133,130,57,115,89,48,572,,,否,可爱猿,,,0.71~1.02,46.5~63.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%82%BD%E7%83%AD%E7%8C%BF,https://patchwiki.biligame.com/images/rocom/a/ad/rbo5f373p1xc6t0e8mc6vtnxu6d1dqy.png,
375,251,10251,火焰猿,火焰猿,最终阶段,火,,散热,初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,167,162,72,143,111,60,715,,,否,可爱猿,,,1.68~1.9,124.5~136.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E7%8C%BF,https://patchwiki.biligame.com/images/rocom/4/49/jzlbg7v46fd5m04k2732qml7t64y3a0.png,
376,252,10252,布鲁斯,布鲁斯,Ⅰ阶,冰,,冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,44,60,16,68,53,54,295,,,否,布鲁斯,,,0.53~0.76,2.4~4.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B8%83%E9%B2%81%E6%96%AF,https://patchwiki.biligame.com/images/rocom/0/03/i3lomx5rtgtrhun9j9o2cky82nj7koy.png,
377,253,10253,雪顶布鲁斯,雪顶布鲁斯,Ⅱ阶,冰,,冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,58,81,22,91,70,72,394,,,否,布鲁斯,,,0.58~0.83,12.8~15.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E9%A1%B6%E5%B8%83%E9%B2%81%E6%96%AF,https://patchwiki.biligame.com/images/rocom/f/f2/qmr111cc6n8vcfctp3ididgmph2te4b.png,
378,254,10254,冰钻布鲁斯,冰钻布鲁斯,最终阶段,冰,,冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,73,101,27,114,88,90,493,,,否,布鲁斯,,,1.21~1.72,49.5~58.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%86%B0%E9%92%BB%E5%B8%83%E9%B2%81%E6%96%AF,https://patchwiki.biligame.com/images/rocom/b/bd/lqbeuvjzkbdjilyup9j54q4ocdv6yza.png,
379,255,10255,治愈兔,治愈兔,Ⅰ阶,火,萌,仁心,敌方受到灼烧伤害时，自己回复等量生命。,67,28,73,60,76,54,358,,,是,治愈兔,,,0.57~0.82,12.03~14.42,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E6%B2%BB%E6%84%88%E5%85%94,https://patchwiki.biligame.com/images/rocom/a/aa/rngx23e2gk0fv954dvqfy4imdotkztj.png,
380,256,10256,红丝绒,红丝绒,Ⅱ阶,火,萌,仁心,敌方受到灼烧伤害时，自己回复等量生命。,90,38,98,80,101,72,479,,,是,治愈兔,,,0.68~0.97,22.4~28.6,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E7%BA%A2%E4%B8%9D%E7%BB%92,https://patchwiki.biligame.com/images/rocom/0/00/lbkgbqads9s37knw6rqxu3fuylvqwro.png,
381,257,10257,红绒十字,红绒十字,最终阶段,火,萌,仁心,敌方受到灼烧伤害时，自己回复等量生命。,112,47,122,100,127,90,598,,,是,治愈兔,,,1.04~1.49,32.5~36.8,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E7%BA%A2%E7%BB%92%E5%8D%81%E5%AD%97,https://patchwiki.biligame.com/images/rocom/c/c1/1i2n00tjjxrhc3x9p39hrg4kxujapoh.png,
382,258,102581,乌达,乌达（极夜的样子）,最终阶段,恶,冰,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,96,95,55,64,34,30,374,,,否,乌达（极夜的样子）,极夜的样子,,0.44~0.58,4.6~6.1,常见于山地,0.6,https://wiki.biligame.com/rocom/%E4%B9%8C%E8%BE%BE%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/9/97/slbqspbgefkwhuqq7b908y5x1irgg7i.png,
383,258,10258,乌达,乌达（极昼的样子）,Ⅰ阶,恶,火,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,80,95,49,70,42,33,369,,,否,乌达（极昼的样子）,极昼的样子,时间为正午,0.44~0.58,4.6~6.1,常见于山地,0.6,https://wiki.biligame.com/rocom/%E4%B9%8C%E8%BE%BE%EF%BC%88%E6%9E%81%E6%98%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/74/4646tw9mipskzlalsx2u7ujdaa067iu.png,
384,259,102591,迷你乌,迷你乌（极夜的样子）,最终阶段,恶,冰,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,128,126,73,85,46,40,498,,,否,乌达（极夜的样子）,极夜的样子,,0.97~1.2,27.9~39.1,常见于山地,0.6,https://wiki.biligame.com/rocom/%E8%BF%B7%E4%BD%A0%E4%B9%8C%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/79/oh8iteeptmtlukbmp3fsu3chacsvfte.png,
385,259,10259,迷你乌,迷你乌（极昼的样子）,Ⅱ阶,恶,火,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,107,126,66,93,56,44,492,,,否,乌达（极昼的样子）,极昼的样子,时间为正午,0.97~1.2,27.9~39.1,常见于山地,0.6,https://wiki.biligame.com/rocom/%E8%BF%B7%E4%BD%A0%E4%B9%8C%EF%BC%88%E6%9E%81%E6%98%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/4a/herfyv2d6y7yvyv02hnk8kkmp84ogsm.png,
